program,lat,lng,type_fp,type_sk,phone,address,boro,zip,loc_info,status,program_type,fp_hours,sk_hours
UPPER MANHATTAN MENTAL HEALTH CENTER (FP),40.825537145522,-73.947163063077,FP,,(646) 228-2197,"1727 Amsterdam Ave, New York, New York, 10031",NY,10031,AT 145TH ,Open,FP,Tue 11:00 AM-02:00 PM; Wed 11:00 AM-02:00 PM; Thu 11:00 AM-02:00 PM,
ST. PETER'S CHURCH BREAKFAST PROGRAM,40.7586867319228,-73.9703800966825,,SK,(212) 935-2200,"619 Lexington Ave, New York, New York, 10022",NY,10022,AT 54TH STREET,Open,SK,,Tue 07:15 AM-08:00 AM
CHRIST CHURCH UNITED METHODIST,40.763942939585,-73.9694903576604,,SK,(212) 838-3036,"524 Park Ave, New York, NY, 10065, USA",NY,10065,AT 60TH STREET,Open,SK,,Sun 04:30 PM-06:00 PM
CONVENT AVENUE BAPTIST CHURCH,40.823860597249,-73.946118007389,FP,,(646) 698-5102,"425 W 144th St, New York, New York, 10031",NY,10031,AT CONVENT AVENUE,Open,FP,Mon 09:00 AM-12:00 PM,
CATHEDRAL OF ST. JOHN THE DIVINE,40.8041168147717,-73.9625784726639,,SK,(212) 316-7640,"1047 Amsterdam Ave, New York, New York, 10025",NY,10025,AT WEST 112TH STREET,Open,SK,,Sun 10:00 AM-03:00 PM
WESTSIDE CAMPAIGN AGAINST HUNGER,40.7888001020946,-73.9772663330553,FP,,(212) 362-3662,"263 W 86th St, New York, New York, 10024",NY,10024,AT WEST END AVE,Open,FP,Tue 09:00 AM-01:00 PM; Wed 09:00 AM-01:00 PM; Thu 09:00 AM-01:00 PM; Fri 09:00 AM-01:00 PM,
MORIAH CITY COMMUNITY FOOD PANTRY,40.696176509697,-73.745540321686,FP,,(718) 276-1908,"206-14 Linden Blvd, Cambria Heights, New York, 11411",QN,11411,CAMBRIA HEIGHTS,Open,FP,Wed 03:00 PM-05:00 PM,
IGLESIA CRISTIANA EVANGELICA,40.7539893876547,-73.8715487410648,FP,,(347) 938-9368,"34-35 96th St, Corona, New York, 11368",QN,11368,CORONA,Open,FP,Sat 11:00 AM-12:00 PM,
MT. OLIVET GOSPEL CHURCH,40.7560735059698,-73.8710050908248,FP,,(718) 478-0780,"33-27 97th St, Corona, New York, 11368",QN,11368,CORONA,Open,FP,Wed 05:30 PM-06:30 PM,
FIRST BAPTIST CHURCH (SK),40.761622074415,-73.868736780187,,SK,(718) 446-0200,"100-10 Astoria Blvd, East Elmhurst, New York, 11369",QN,11369,EAST ELMHURST,Open,SK,,Wed 12:00 PM-01:45 PM
BETHANY PANTRY,40.7414233222331,-73.8730636024257,FP,,(917) 533-1679,"48-08 91st Pl, Elmhurst, New York, 11373",QN,11373,ELMHURST,Open,FP,Sat 09:00 AM-10:00 AM,
EVANGELICAL CHURCH CHRIST IS THE LIGHT,40.74113272165,-73.874885744357,FP,,(718) 592-2701,"89-16 48th Ave, Elmhurst, New York, 11373",QN,11373,ELMHURST,Open,FP,Fri 09:00 AM-11:00 AM,
FIRST PRESBYTERIAN RUSSELL SAGE MEMORIAL CHURCH OF FAR ROCKAWAY,40.610138340413,-73.744640161527,FP,,(718) 327-2440,"896 Central Ave, Far Rockaway, NY, 11691, USA",QN,11691,FAR ROCKAWAY,Open,FP,Sat 09:00 AM-10:30 AM,
CHAZAQ,40.72673558757,-73.822208248927,FP,,(718) 285-9132,"141-47 72nd Ave, Flushing, New York, 11367",QN,11367,FLUSHING,Open,FP,Tue 02:30 PM-05:00 PM,
FOOD SHARING WITH OUR NEIGHBORS PROGRAMS (FP),40.763794537989,-73.816887165334,FP,,(718) 939-8599,"38-24 149th St, Flushing, New York, 11354",QN,11354,FLUSHING,Open,FP,Thu 10:00 AM-12:00 PM,
QUEENS JEWISH COMMUNITY COUNCIL,40.7140070808651,-73.8323344261536,FPK,,(718) 544-9033,"119-45 Union Tpke, Forest Hills, New York, 11375",QN,11375,FOREST HILLS,Open,FP,Mon 11:00 AM-02:00 PM; Tue 11:00 AM-02:00 PM; Wed 11:00 AM-02:00 PM; Thu 11:00 AM-02:00 PM,
THE LEGACY CENTER COMMUNITY DEVELOPMENT CORP,40.70174687109,-73.89255311987,FP,,(718) 456-4852,"71-02 Cypress Hills St, Ridgewood, NY, 11385, USA",QN,11385,GLENDALE,Open,FP,Thu 09:00 AM-12:00 PM,
OUR LADY OF GRACE MINISTRY,40.660986681777,-73.832888889049,FP,,(718) 845-6635,"158-10 101st St, Howard Beach, New York, 11414",QN,11414,HOWARD BEACH,Open,FP,Tue 10:30 AM-12:00 PM,
GETHSEMANE SEVENTH DAY ADVENTIST CHURCH,40.664109946538,-73.950237293705,FP,,(718) 467-4181,"357 Empire Blvd, Brooklyn, New York, 11225",BK,11225,,Open,FP,Wed 05:00 PM-06:00 PM; Sun 12:00 PM-01:00 PM,
GLOVER MEMORIAL BREAD OF LIFE FOOD PANTRY (FP),40.674917488673,-73.917033976837,FP,,(929) 453-9611,"2134 Dean St, Brooklyn, New York, 11233",BK,11233,,Open,FP,Thu 09:00 AM-11:30 AM,
GOD'S BATTALION OF PRAYER CHURCH,40.653831679678,-73.933806165091,FP,,(718) 774-5447,"661 Linden Blvd, Brooklyn, New York, 11203",BK,11203,,Open,FP,Tue 09:00 AM-12:00 PM; Thu 09:00 AM-12:00 PM,
"GOD'S DELIVERANCE TEMPLE, INC",40.674182856769,-73.922234277205,FP,,(347) 234-3828,"438 Ralph Ave, Brooklyn, New York, 11233",BK,11233,,Open,FP,Tue 11:00 AM-12:00 PM,
GRANT HOUSE UNITY CORPORATION,40.6198947367351,-73.9341653296417,FP,,(631) 652-3700,"2046 Flatbush Ave, Brooklyn, New York, 11234",BK,11234,,Open,FP,Wed 11:00 AM-04:00 PM; Thu 11:00 AM-04:00 PM,
GREENPOINT REFORMED CHURCH FOOD PANTRY (FP),40.729274549861,-73.954981283264,FP,,(718) 383-5941,"136 Milton St, Brooklyn, New York, 11222",BK,11222,,Open,FP,Thu 04:00 PM-07:00 PM,
HANSON PLACE SEVENTH DAY ADVENTIST CHURCH (FP),40.685432837664,-73.974032259534,FP,,(718) 230-0229,"88 Hanson Pl, Brooklyn, NY, 11217, USA",BK,11217,,Open,FP,Thu 01:30 PM-05:00 PM,
HEALTH ESSENTIAL ASSOCIATION CPMM,40.5998786262236,-73.9907439304473,FP,,(646) 515-6898,"2336 86th St, Brooklyn, New York, 11214",BK,11214,,Open,FP,Thu 10:00 AM-12:00 PM,
HOLY CROSS FOOD PANTRY - BROOKLYN,40.650442624768,-73.953526184873,FP,,(718) 469-5900,"2530 Church Ave, Brooklyn, New York, 11226",BK,11226,,Open,FP,Tue 02:00 PM-03:30 PM; Thu 02:00 PM-03:30 PM,
HOPE CENTER DEVELOPMENT CORPORATION,40.6570453432654,-73.9186232694977,FP,,(718) 385-1043,"414 E 95th St, Brooklyn, New York, 11212",BK,11212,,Open,FP,Sat 11:00 AM-01:30 PM,
HOREB SEVENTH DAY ADVENTIST COMMUNITY SERVICES,40.66105688021568,-73.94282819421163,FP,,(718) 778-7373,"520 Kingston Ave, Brooklyn, New York, 11225",BK,11225,,Open,FP,Tue 10:00 AM-11:00 AM,
ICNA RELIEF USA FOOD PANTRY,40.581346950764,-73.963456896117,FP,,(718) 658-2028,"273 Neptune Ave, Brooklyn, NY, 11235, USA",BK,11235,,Open,FP,Mon 12:00 PM-01:00 PM,
IMMANUEL FIRST SPANISH UNITED METHODIST CHURCH,40.6822239517617,-73.9771723719207,FP,,(718) 624-3300,"424 Dean St, Brooklyn, New York, 11217",BK,11217,,Open,FP,Tue 01:00 PM-02:45 PM,
INTERNATIONAL PENTECOSTAL CITY MISSION,40.6538787021553,-73.9180204430213,FP,,(718) 342-9005,"9202 Church Ave, Brooklyn, New York, 11236",BK,11236,,Open,FP,Sat 11:00 AM-01:00 PM,
LADIES IN WAITING,40.6583750902947,-73.9536245045967,FP,,(718) 469-8816,"276 Fenimore St, Brooklyn, New York, 11225",BK,11225,,Open,FP,Tue 10:00 AM-01:00 PM,
LAS MARAVILLAS DEL EXODO,40.67585638755739,-73.88405194221254,FP,,(347) 691-8340,"302 Elton St, Brooklyn, New York, 11208",BK,11208,,Open,FP,Wed 09:00 AM-11:00 AM,
LIFEBRIDGENY/BKPANTRY,40.6235013858525,-73.9375453320972,FP,,(718) 233-5004,"1895 Flatbush Ave, Brooklyn, New York, 11210",BK,11210,,Open,FP,Tue 10:00 AM-06:00 PM; Wed 10:00 AM-06:00 PM; Thu 10:00 AM-06:00 PM; Fri 10:00 AM-06:00 PM,
LITTLE JERUSALEM HOUSE OF PRAYER,40.658941581221,-73.91270614877,FP,,(917) 992-5975,"447 Herzl St, Brooklyn, New York, 11212",BK,11212,,Open,FP,Sat 01:00 PM-01:00 PM,
MAKE THE ROAD NEW YORK              (BK),40.6984242008526,-73.91579739466114,FP,,(718) 418-7690,"301 Grove St, Brooklyn, NY, 11237, USA",BK,11237,,Open,FP,Fri 08:00 AM-11:00 AM,
MAMRE ENRICHMENT PROGRAM (FP),40.632633175995,-73.928144440953,FP,,(646) 617-8775,"1623 Utica Ave, Brooklyn, New York, 11234",BK,11234,,Open,FP,Sun 10:00 AM-12:00 PM,
MOUNT CARMEL WORSHIP AND OUTREACH CENTER (FP),40.642163441815,-73.933387908122,FP,,(917) 982-7987,"784 E 46th St, Brooklyn, New York, 11203",BK,11203,,Open,FP,Mon 12:00 PM-02:00 PM,
MOVEMENT OF PENTECOSTAL CHRISTIAN CHURCH,40.620561271594,-74.038228767017,FP,,(347) 219-0947,"90 92nd St, Brooklyn, New York, 11209",BK,11209,,Open,FP,Sun 12:30 PM-02:00 PM,
MT. HEBRON CHURCH OF CHRIST (FP),40.671011312246,-73.884983004017,FP,,(347) 454-4915,"905 Sutter Ave, Brooklyn, NY, 11207, USA",BK,11207,,Open,FP,Thu 11:30 AM-01:00 PM,
MUNA SOCIAL SERVICE INC (FPH),40.676876507083,-73.871840598933,FP,,(347) 400-2644,"1033 Glenmore Ave, Brooklyn, New York, 11208",BK,11208,,Open,FP,Wed 03:00 PM-05:00 PM,
NEW LIFE SEVENTH DAY ADVENTIST CHURCH,40.65869268060601,-73.91063858471375,FP,,(718) 385-0463,"885 Thomas S Boyland St, Brooklyn, New York, 11212",BK,11212,,Open,FP,Mon 05:00 PM-07:00 PM; Tue 06:00 PM-08:00 PM; Sun 08:00 AM-10:00 AM,
NEWMAN MEMORIAL UNITED METHODIST CHURCH COMMUNITY DEVELOPMENT CORPORATION,40.68219650102881,-73.94101862513507,FP,,(718) 622-7955,"257 Macon St, Brooklyn, New York, 11216",BK,11216,,Open,FP,Sat 10:00 AM-02:00 PM,
NORTHEAST BROOKLYN HOUSING DEVELOPMENT CORPORATION (83344),40.691356747733,-73.942750913064,FP,,(718) 453-9490,"376 Throop Ave, Brooklyn, New York, 11221",BK,11221,,Open,FP,Tue 09:00 AM-12:00 PM; Thu 09:00 AM-12:00 PM; Sat 10:00 AM-12:00 PM,
OPEN DOOR FAMILY LIFE CENTER INC,40.691297110492,-73.9270092798057,FP,,(718) 455-3545,"999 Greene Ave, Brooklyn, New York, 11221",BK,11221,,Open,FP,Sat 08:30 AM-10:30 AM,
OPEN DOOR TO HEAVEN OUTREACH MINISTRY INC,40.672654458635,-73.880570183452,FP,,(347) 822-0714,"474 Shepherd Ave, Brooklyn, New York, 11208",BK,11208,,Open,FP,Sat 01:00 PM-02:00 PM,
OUR LADY OF ANGELS HUMAN SERVICES,40.6324515820632,-74.026148167451,FP,,(718) 726-9790,"336 73rd St, Brooklyn, New York, 11209",BK,11209,,Open,FP,"Wed 09:30 AM-12:00 PM, 01:30 PM-03:00 PM",
OUR LADY OF MERCY CHURCH (FP),40.662055248703,-73.905076689043,FP,,(347) 957-2450,"680 Mother Gaston Blvd, Brooklyn, New York, 11212",BK,11212,,Open,FP,Fri 09:30 AM-11:30 AM,
OUR LADY OF MIRACLES-CANARSIE CLUSTER CENTER,40.6388220799336,-73.9092268207619,FP,,(718) 257-2400,"757 E 86th St, Brooklyn, New York, 11236",BK,11236,,Open,FP,Sat 10:00 AM-11:30 AM,
OUR LADY OF REFUGE R.C. CHURCH (FP),40.63650066994,-73.957710682395,FP,,(718) 434-2090,"2020 Foster Ave, Brooklyn, New York, 11210",BK,11210,,Open,FP,Wed 10:00 AM-01:00 PM,
PAYO FOOD PANTRY,40.6321952634641,-73.9665352338769,FP,,(718) 713-2000,"1045 Coney Island Ave, Brooklyn, New York, 11230",BK,11230,,Open,FP,Thu 03:00 PM-05:00 PM,
BAY RIDGE COMMMUNITY DEVELOPMENT CENTER (BRCDC) ,40.612839688832,-74.031330949641,FP,,(347) 560-6700,9818 FORT HAMILTON PARKWAY,BK,11209,,Open,FP,Sat 11:00 AM-02:00 PM,
BAY VIEW HOUSES RESIDENT ASSOCIATION,40.632865564261,-73.886955349653,FP,,(347) 307-0030,"2085 Rockaway Pkwy, Brooklyn, New York, 11236",BK,11236,,Open,FP,Thu 09:30 AM-12:30 PM,
BEDFORD CENTRAL PRESBYTERIAN CHURCH,40.676728943678,-73.949583589076,FP,,(718) 467-0740,"1200 Dean St, Brooklyn, New York, 11216",BK,11216,,Open,FP,Thu 10:30 AM-02:30 PM,
BETHANIE FRENCH SEVENTH-DAY ADVENTIST CHURCH,40.654484001293,-73.956077049466,FP,,(929) 340-4778,"2059 Bedford Ave, Brooklyn, New York, 11226",BK,11226,,Open,FP,Thu 10:00 AM-12:00 PM,
BETHLEM NATION'S FOOD PANTRY,40.658848374458,-73.889329607547,FP,,(718) 257-8300,"1962 Linden Blvd, Brooklyn, New York, 11207",BK,11207,,Open,FP,Sat 10:00 AM-12:00 PM,
BEULAH CHURCH OF GOD IN CHRIST JESUS,40.680625564736,-73.946439369557,FP,,(718) 636-8500,"956 Marcy Ave, Brooklyn, New York, 11216",BK,11216,,Open,FP,Tue 10:30 AM-01:00 PM; Thu 10:30 AM-01:00 PM,
BLESSED ASSURANCE CHURCH OF GOD BLESSED ASSURANCE CHARITY INC,40.678342962953,-73.909298905129,FP,,(917) 889-4654,"2093 Fulton St, Brooklyn, New York, 11233",BK,11233,,Open,FP,Sat 09:00 AM-11:00 AM,
BLESSED SACRAMENT CHURCH (BKLYN),40.683681103719,-73.874456088,FP,,(718) 827-1200,"198 Euclid Ave, Brooklyn, NY, 11208, USA",BK,11208,,Open,FP,Wed 09:30 AM-11:30 AM,
BROOKLYN MEAL SHARE (FP),40.633708741811,-73.964178494161,FP,,,"1323 Foster Ave, Brooklyn, New York, 11230",BK,11230,,Open,FP,Sat 05:00 PM-07:00 PM,
BROOKLYN RESCUE MISSION URBAN HARVEST CENTER INC (FP),40.682228771356,-73.925767333212,FP,,(917) 426-3001,"426 Decatur St, Brooklyn, NY, 11233, USA",BK,11233,,Open,FP,Tue 10:00 AM-11:30 AM; Wed 10:00 AM-11:30 AM,
BROWNSVILLE TEMPLE SEVENTH DAY ADVENTIST CHURCH,40.659960694918,-73.922167305798,FP,,(929) 944-2520,"1089 Clarkson Ave, Brooklyn, New York, 11212",BK,11212,,Open,FP,Sun 11:00 AM-01:00 PM,
CALVARY PENTECOSTAL CHURCH,40.6544636751779,-73.9610806265665,FP,,(718) 469-8252,"151 Woodruff Ave, Brooklyn, New York, 11226",BK,11226,,Open,FP,Thu 10:00 AM-12:00 PM,
CAMP FRIENDSHIP FOOD PANTRY IN PARK SLOPE,40.66898025137792,-73.98385232965641,FP,,(718) 965-3695,"339 8th St, Brooklyn, NY, 11215, USA",BK,11215,,Open,FP,Sat 09:00 AM-12:00 PM,
CATHOLIC CHARITIES,40.5772771595871,-73.9850475052302,FP,,(718) 722-6001,"2866 W 17th St, Brooklyn, New York, 11224",BK,11224,,Open,FP,Mon 09:30 AM-01:30 PM,
CCC NEW YORK PARISH FOOD PANTRY OUTREACH PROGRAM,40.6946499136717,-73.909821097697,FP,,(718) 366-8065,"1380 Jefferson Ave, Brooklyn, New York, 11237",BK,11237,,Open,FP,Sat 10:00 AM-02:00 PM,
CENTER FOR FAMILY LIFE,40.651994408412,-74.004865760917,FP,,(929) 480-7175,"443 39th St, Brooklyn, New York, 11232",BK,11232,,Open,FP,Tue 01:00 PM-04:00 PM; Wed 01:00 PM-04:00 PM; Thu 01:00 PM-04:00 PM,
CHILD DEVELOPMENT SUPPORT CORPORATION,40.6882681840511,-73.9600250934996,FP,,(718) 398-2050,"358 Classon Ave, Brooklyn, New York, 11238",BK,11238,,Open,FP,Thu 11:00 AM-03:00 PM,
CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC,40.642246296928,-73.901805567509,FP,,(347) 794-4130,"1171 E 95th St, Brooklyn, New York, 11236",BK,11236,,Open,FP,Mon 10:00 AM-03:00 PM; Wed 10:00 AM-03:00 PM; Fri 10:00 AM-03:00 PM; Sat 10:00 AM-03:00 PM,
CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,40.63849518571,-73.972156808699,FP,,(347) 337-4167,"622 Cortelyou Rd, Brooklyn, New York, 11218",BK,11218,,Open,FP,Tue 02:00 PM-04:00 PM; Sat 09:00 AM-01:00 PM,
CHRISTIAN CULTURAL CENTER,40.651153493976,-73.888606752217,FP,,(718) 306-1021,"12020 Flatlands Ave, Brooklyn, New York, 11207",BK,11207,,Open,FP,Wed 09:30 AM-12:00 PM; Thu 09:30 AM-12:00 PM,
"CHURCH AVENUE MERCHANTS BLOCK ASSOC., INC/CAMBA FOOD PANTRY",40.64868246701,-73.957287228646,FP,,(718) 282-3082,"21 Snyder Ave, Brooklyn, New York, 11226",BK,11226,,Open,FP,Tue 10:00 AM-01:00 PM; Thu 10:00 AM-01:00 PM,
CHURCH OF GOD (BK),40.651667178912,-73.918430653363,FP,,(718) 346-4897,"627 Remsen Ave, Brooklyn, New York, 11236",BK,11236,,Open,FP,Sat 12:00 PM-02:30 PM,
CHURCH OF GOD FEEDING THE HUNGRY,40.672411090076,-73.961116752569,FP,,(718) 230-5955,"836 Classon Ave, Brooklyn, New York, 11238",BK,11238,,Open,FP,Thu 10:00 AM-12:00 PM,
CHURCH OF GOD INC.,40.6602317656671,-73.9260760387062,FP,,(718) 493-3031,"1011 Winthrop St, Brooklyn, New York, 11212",BK,11212,,Open,FP,Sat 12:00 PM-01:00 PM,
CHURCH OF GOD OF SALVATION,40.646673031452,-73.948961735679,FP,,(718) 693-6486,"1615 Nostrand Ave, Brooklyn, New York, 11226",BK,11226,,Open,FP,Wed 02:00 PM-04:00 PM; Thu 10:00 AM-04:00 PM,
CHURCH OF PRAISE AND WORSHIP GOD IN CHRIST,40.671422486506,-73.922488081233,FP,,(347) 462-5679,"526 Ralph Ave, Brooklyn, New York, 11233",BK,11233,,Open,FP,Sat 10:00 AM-01:00 PM,
COMMUNITY CARE FOOD PANTRY,40.622198419004,-73.93909816348,FP,,(917) 304-3406,"1387 E 37th St, Brooklyn, New York, 11210",BK,11210,,Open,FP,Sat 11:00 AM-02:30 PM,
COMMUNITY SERVICES HOUSING DEVELOPMENT CORP.,40.6690178861232,-73.9198218816518,FP,,(646) 794-5961,"547 Howard Ave, Brooklyn, New York, 11233",BK,11233,,Open,FP,Thu 10:00 AM-12:00 PM,
COMPASSION HOUSE COMMUNITY DEVELOPMENT CORPORATION,40.701437956049,-73.931591582453,FP,,(718) 386-8151,"43 George St, Brooklyn, NY, 11206, USA",BK,11206,,Open,FP,Thu 09:00 AM-11:30 AM,
COPO FOOD PANTRY  (FPH),40.631334567737,-73.966304312444,FP,,(718) 434-3266,"1077 Coney Island Ave, Brooklyn, New York, 11230",BK,11230,,Open,FP,Fri 10:30 AM-04:30 PM,
EAST NEW YORK SEVENTH DAY ADVENTIST CHURCH,40.670394865177,-73.88242811611,FP,,(917) 470-8924,"511 Elton St, Brooklyn, New York, 11208",BK,11208,,Open,FP,Thu 11:00 AM-02:00 PM,
EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY WORSHIP CENTER,40.665996335757,-73.88651764667,FP,,(718) 342-1305,"817 Livonia Ave, Brooklyn, New York, 11207",BK,11207,,Open,FP,Sat 11:00 AM-01:00 PM,
"BEYOND WALLS, INC",40.655301530219,-73.928005720455,FP,,(347) 406-5878,"188 E 53rd St, Brooklyn, New York, 11203",BK,11203,,Open,FP,Tue 01:30 PM-03:00 PM,
EMMAUS SEVENTH DAY ADVENTIST CHURCH (FP),40.64246519033,-73.957698025721,FP,,(704) 502-1450,"1144 Flatbush Ave, Brooklyn, New York, 11226",BK,11226,,Open,FP,Tue 12:30 PM-02:00 PM,
PENIEL HAITIAN CHURCH OF C AND MA,40.6481952269786,-73.9506515273595,FP,,(718) 469-3685,"2741 Albemarle Rd, Brooklyn, New York, 11226",BK,11226,,Open,FP,"Sat 10:00 AM-12:00 PM, 01:00 PM-03:00 PM",
FAMILY LIFE DEVELOPMENT CENTER,40.672925487474,-73.95442757474,FP,,(718) 636-4938,"1476 Bedford Ave, Brooklyn, New York, 11216",BK,11216,,Open,FP,Mon 04:00 PM-06:00 PM,
FEEDING THE VULNERABLE-FORT GREENE,40.698121404600386,-73.97119557204246,FP,,(419) 619-3292,"141 Flushing Ave, Brooklyn, New York, 11205",BK,11205,,Open,FP,Sat 09:00 AM-01:00 PM,
FERNANDE VALME' MINISTRIES INC,40.643158667089,-73.9579009515969,FP,,(718) 284-1809,"1120 Flatbush Ave, Brooklyn, New York, 11226",BK,11226,,Open,FP,Thu 10:00 AM-11:00 AM,
FLATBUSH SEVENTH DAY ADVENTIST CHURCH (FP),40.648057177033,-73.959354876522,FP,,(718) 693-9180,"261 E 21st St, Brooklyn, NY, 11226, USA",BK,11226,,Open,FP,Mon 11:00 AM-01:00 PM,
"FOOD FIRST, INC",40.678224107566,-74.013866164728,FP,,(718) 399-7395,"165 Conover St, Brooklyn, New York, 11231",BK,11231,,Open,FP,Wed 10:00 AM-12:00 PM; Fri 10:00 AM-12:00 PM,
PENIEL SEVENTH DAY ADVENTIST CHURCH,40.64305347420418,-73.92975686766661,FP,,(518) 652-3246,"1210 Utica Ave, Brooklyn, New York, 11203",BK,11203,,Open,FP,Fri 10:00 AM-12:00 PM,
PRESBYTERIAN CHURCH OF THE CROSSROADS,40.680539901685,-73.884692906348,FP,,(718) 657-8404,"133 Elton St, Brooklyn, New York, 11208",BK,11208,,Open,FP,Wed 10:00 AM-12:00 PM,
"POWER PRAISE AND DELIVERANCE, INC",40.8596232444326,-73.9004342881499,FP,,(347) 409-0288,"120 E 184th St, Bronx, New York, 10468",BX,10468,,Open,FP,Fri 12:00 PM-04:00 PM,
REACHING-OUT COMMUNITY SERVICES INC,40.6139845310776,-74.000636587851,FP,,(718) 373-4565,"7708 New Utrecht Ave, Brooklyn, New York, 11214",BK,11214,,Open,FP,Mon 09:00 AM-05:00 PM; Tue 09:00 AM-05:00 AM; Wed 09:00 AM-05:00 AM; Thu 09:00 AM-05:00 AM; Fri 09:00 AM-05:00 AM,
RESURRECTION AND LIFE PENTECOSTAL CHURCH (FP),40.821526321034,-73.899285799777,FP,,(929) 472-4201,"870 E 163rd St, Bronx, New York, 10459",BX,10459,,Open,FP,Tue 12:00 PM-02:00 PM; Sat 10:00 AM-12:00 PM,
SPANISH SEVENTH DAY ADVENTIST CHURCH FOOD PANTRY,40.82473575176,-73.899309017649,FP,,(845) 729-8804,"1038 Prospect Ave, Bronx, New York, 10459",BX,10459,,Open,FP,Thu 10:00 AM-01:00 PM,
SPANISH SOUNDVIEW SEVENTH DAY ADVENTIST CHURCH,40.81490784455784,-73.86122952860838,FP,,(718) 842-7373,"1822 Lacombe Ave, Bronx, New York, 10473",BX,10473,,Open,FP,Wed 08:00 AM-12:30 PM,
ST. BRENDAN & ST. ANN PARISH,40.8754643289724,-73.8775260438572,FP,,(718) 547-6655,"268 E 207th St, Bronx, New York, 10467",BX,10467,,Open,FP,Sat 07:30 AM-09:00 AM,
ST. EDMUNDS YOUTH PROGRAM INC,40.8499230355257,-73.9080897317771,FP,,(718) 466-9370,"1905 Morris Ave, Bronx, New York, 10453",BX,10453,,Open,FP,Thu 12:00 PM-02:00 PM,
ST. JEROME H.A.N.D.S. COMMUNITY CENTER,40.809893540861616,-73.92489843908047,FP,,(718) 402-7866,"330 E 138th St, Bronx, New York, 10454",BX,10454,,Open,FP,Wed 10:00 AM-01:00 PM,
ST. LUKES FOOD PANTRY,40.80619456284,-73.915570245085,FP,,(718) 665-6677,"623 E 138th St, Bronx, New York, 10454",BX,10454,,Open,FP,Fri 10:00 AM-01:00 PM,
ST. PAUL'S LUTHERAN CHURCH,40.834569484384,-73.862510367233,FP,,(718) 822-4535,"1891 Mcgraw Ave, Bronx, New York, 10462",BX,10462,,Open,FP,Fri 08:00 AM-10:00 AM,
THE GAMBIAN YOUTH ORGANIZATION FOOD PANTRY (FP),40.854303962949,-73.90081348545,FP,,(646) 470-6330,"214 E 181st St, Bronx, New York, 10457",BX,10457,,Open,FP,Sun 02:00 PM-05:00 PM,
