FID,type_fp,type_sk,program,org_phone,distadd,distboro,distzip,dist_location_info,fp_days_orig,fp_hours_orig,sk_days_orig,sk_hours_orig,fp_mon,fp_mon_open1,fp_mon_close1,fp_mon_open2,fp_mon_close2,fp_tue,fp_tue_open1,fp_tue_close1,fp_tue_open2,fp_tue_close2,fp_wed,fp_wed_open1,fp_wed_close1,fp_wed_open2,fp_wed_close2,fp_thu,fp_thu_open1,fp_thu_close1,fp_thu_open2,fp_thu_close2,fp_fri,fp_fri_open1,fp_fri_close1,fp_fri_open2,fp_fri_close2,fp_sat,fp_sat_open1,fp_sat_close1,fp_sat_open2,fp_sat_close2,fp_sun,fp_sun_open1,fp_sun_close1,fp_sun_open2,fp_sun_close2,sk_mon,sk_mon_open1,sk_mon_close1,sk_mon_open2,sk_mon_close2,sk_tue,sk_tue_open1,sk_tue_close1,sk_tue_open2,sk_tue_close2,sk_wed,sk_wed_open1,sk_wed_close1,sk_wed_open2,sk_wed_close2,sk_thu,sk_thu_open1,sk_thu_close1,sk_thu_open2,sk_thu_close2,sk_fri,sk_fri_open1,sk_fri_close1,sk_fri_open2,sk_fri_close2,sk_sat,sk_sat_open1,sk_sat_close1,sk_sat_open2,sk_sat_close2,sk_sun,sk_sun_open1,sk_sun_close1,sk_sun_open2,sk_sun_close2,fp_notes,sk_notes,CreationDate,Creator,EditDate,Editor,GlobalID,lat,lon,address_score,subregion,status,program_type,fp_mon_open3,fp_mon_close3,fp_tue_open3,fp_tue_close3,fp_wed_open3,fp_wed_close3,fp_thu_open3,fp_thu_close3,fp_fri_open3,fp_fri_close3,fp_sat_open3,fp_sat_close3,fp_sun_open3,fp_sun_close3,sk_mon_open3,sk_mon_close3,sk_tue_open3,sk_tue_close3,sk_wed_open3,sk_wed_close3,sk_thu_open3,sk_thu_close3,sk_fri_open3,sk_fri_close3,sk_sat_open3,sk_sat_close3,sk_sun_open3,sk_sun_close3,geometry,geoid,nta2020,id
21,FP,,UPPER MANHATTAN MENTAL HEALTH CENTER (FP),(646) 228-2197,"1727 Amsterdam Ave, New York, New York, 10031",NY,10031,AT 145TH ,"TUE,WED,THUR",1:30-3:30PM,,,closed,,,,,open,11:00 AM,02:00 PM,,,open,11:00 AM,02:00 PM,,,open,11:00 AM,02:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1761379217571,maps.nyc.data,c0033eef-4680-4b71-9e66-cab95de44f00,40.825537145522,-73.947163063077,100.0,New York County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.947163063077 40.825537145522),36061023100,MN0903,10
22,,SK,ST. PETER'S CHURCH BREAKFAST PROGRAM,(212) 935-2200,"619 Lexington Ave, New York, New York, 10022",NY,10022,AT 54TH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,,,,,open,07:15 AM,08:00 AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,f5c6d99f-febb-4216-8646-87dc843ffc90,40.7586867319228,-73.9703800966825,100.0,New York County,Open,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.970380096255 40.7586867318663),36061010000,MN0604,11
23,,SK,CHRIST CHURCH UNITED METHODIST,(212) 838-3036,"524 Park Ave, New York, NY, 10065, USA",NY,10065,AT 60TH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,04:30 PM,06:00 PM,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,027928fa-f0c5-465d-930a-07d06c563d42,40.763942939585,-73.9694903576604,100.0,New York County,Open,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9694903580852 40.7639429396378),36061011401,MN0802,12
24,FP,,CONVENT AVENUE BAPTIST CHURCH,(646) 698-5102,"425 W 144th St, New York, New York, 10031",NY,10031,AT CONVENT AVENUE,,,,,open,09:00 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ST & 3RD MONDAY'S ONLY,,1680892750097,rwrenner_nyc,1693987213796,maps.nyc.data,8b92571b-85d5-4f95-9126-7e0913cee710,40.823860597249,-73.946118007389,100.0,New York County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.946118007389 40.823860597249),36061022700,MN0903,13
25,,SK,CATHEDRAL OF ST. JOHN THE DIVINE,(212) 316-7640,"1047 Amsterdam Ave, New York, New York, 10025",NY,10025,AT WEST 112TH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,03:00 PM,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,41b85d7f-689a-4f4c-9d87-86af1e44014b,40.8041168147717,-73.9625784726639,100.0,New York County,Open,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9625784723541 40.8041168149533),36061019701,MN0901,14
26,FP,,WESTSIDE CAMPAIGN AGAINST HUNGER,(212) 362-3662,"263 W 86th St, New York, New York, 10024",NY,10024,AT WEST END AVE,TUE-FRI,9AM-1PM,,,closed,,,,,open,09:00 AM,01:00 PM,,,open,09:00 AM,01:00 PM,,,open,09:00 AM,01:00 PM,,,open,09:00 AM,01:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,0ccaf57e-be93-4256-8b83-53ce9b950d04,40.7888001020946,-73.9772663330553,100.0,New York County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.977266333288 40.7888001022467),36061017500,MN0702,15
31,FP,,MORIAH CITY COMMUNITY FOOD PANTRY,(718) 276-1908,"206-14 Linden Blvd, Cambria Heights, New York, 11411",QN,11411,CAMBRIA HEIGHTS,,,,,closed,,,,,closed,,,,,open,03:00 PM,05:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1695196815677,maps.nyc.data,8c54fc13-a19a-4115-ada3-e1ce3003d619,40.696176509697,-73.745540321686,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.745540321686 40.696176509697),36081038400,QN1205,16
33,FP,,IGLESIA CRISTIANA EVANGELICA,(347) 938-9368,"34-35 96th St, Corona, New York, 11368",QN,11368,CORONA,SAT,11AM-12PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,11:00 AM,12:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,31b0d8ca-d342-468f-bc30-fccf5b1d3bc7,40.7539893876547,-73.8715487410648,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8715487413718 40.7539893876077),36081037502,QN0303,17
34,FP,,MT. OLIVET GOSPEL CHURCH,(718) 478-0780,"33-27 97th St, Corona, New York, 11368",QN,11368,CORONA,WED,5:30-6:30PM,,,closed,,,,,closed,,,,,open,05:30 PM,06:30 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,19887e6f-82e9-4c45-9840-450f932dd4e2,40.7560735059698,-73.8710050908248,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8710050908433 40.7560735060792),36081037700,QN0303,18
35,,SK,FIRST BAPTIST CHURCH (SK),(718) 446-0200,"100-10 Astoria Blvd, East Elmhurst, New York, 11369",QN,11369,EAST ELMHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,,,,,closed,,,,,open,12:00 PM,01:45 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,1680892750097,rwrenner_nyc,1694678415550,maps.nyc.data,8586b446-3e0f-4e2b-87b5-aa4a0fa8e83f,40.761622074415,-73.868736780187,100.0,Queens County,Open,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.868736780187 40.761622074415),36081036300,QN0302,19
36,FP,,BETHANY PANTRY,(917) 533-1679,"48-08 91st Pl, Elmhurst, New York, 11373",QN,11373,ELMHURST,SAT ,9-10AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,09:00 AM,10:00 AM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,8bc197c9-80d1-4d5c-9015-39f5aba49b58,40.7414233222331,-73.8730636024257,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8730636027748 40.7414233224869),36081046100,QN0401,20
37,FP,,EVANGELICAL CHURCH CHRIST IS THE LIGHT,(718) 592-2701,"89-16 48th Ave, Elmhurst, New York, 11373",QN,11373,ELMHURST,FRI,9-11AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,09:00 AM,11:00 AM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,35caee82-11e2-4dc0-abd4-bb4b6c13e81a,40.74113272165,-73.874885744357,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8748857445988 40.7411327216259),36081047100,QN0401,21
39,FP,,FIRST PRESBYTERIAN RUSSELL SAGE MEMORIAL CHURCH OF FAR ROCKAWAY,(718) 327-2440,"896 Central Ave, Far Rockaway, NY, 11691, USA",QN,11691,FAR ROCKAWAY,SAT,9:30-10:30AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,09:00 AM,10:30 AM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1733994033916,maps.nyc.data,6447e8b4-b646-4943-8ae7-e737d670ebd3,40.610138340413,-73.744640161527,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.744640161527 40.610138340413),36081103202,QN1401,22
41,FP,,CHAZAQ,(718) 285-9132,"141-47 72nd Ave, Flushing, New York, 11367",QN,11367,FLUSHING,,,,,closed,,,,,open,02:30 PM,05:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1720598414139,maps.nyc.data,fc593f57-82c5-4740-9d8d-a29374d8b5cd,40.72673558757,-73.822208248927,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.822208248927 40.72673558757),36081077902,QN0801,23
42,FP,,FOOD SHARING WITH OUR NEIGHBORS PROGRAMS (FP),(718) 939-8599,"38-24 149th St, Flushing, New York, 11354",QN,11354,FLUSHING,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1697097617869,maps.nyc.data,0266190d-1a78-4ad5-96b5-e5fba57abb84,40.763794537989,-73.816887165334,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.816887165334 40.763794537989),36081116302,QN0704,24
46,FPK,,QUEENS JEWISH COMMUNITY COUNCIL,(718) 544-9033,"119-45 Union Tpke, Forest Hills, New York, 11375",QN,11375,FOREST HILLS,M-THUR,11AM-2PM,,,open,11:00 AM,02:00 PM,,,open,11:00 AM,02:00 PM,,,open,11:00 AM,02:00 PM,,,open,11:00 AM,02:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,d01c2267-ca95-454e-8f29-f9e234077126,40.7140070808651,-73.8323344261536,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8323344261707 40.7140070809817),36081076902,QN0602,25
47,FP,,THE LEGACY CENTER COMMUNITY DEVELOPMENT CORP,(718) 456-4852,"71-02 Cypress Hills St, Ridgewood, NY, 11385, USA",QN,11385,GLENDALE,THUR,9AM-1PM,,,closed,,,,,closed,,,,,closed,,,,,open,09:00 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1756368017803,maps.nyc.data,2fce6093-f825-448d-81fe-85c4bcebc3aa,40.70174687109,-73.89255311987,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.89255311987 40.70174687109),36081057700,QN0503,26
50,FP,,OUR LADY OF GRACE MINISTRY,(718) 845-6635,"158-10 101st St, Howard Beach, New York, 11414",QN,11414,HOWARD BEACH,TUE,10AM-12PM,,,closed,,,,,open,10:30 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1720512021941,maps.nyc.data,83a43075-a35b-490e-8261-8d1d5090e5b4,40.660986681777,-73.832888889049,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.832888889049 40.660986681777),36081088400,QN1003,27
59,FP,,GETHSEMANE SEVENTH DAY ADVENTIST CHURCH,(718) 467-4181,"357 Empire Blvd, Brooklyn, New York, 11225",BK,11225,,SUN/WED,12-1PM/5-6PM,,,closed,,,,,closed,,,,,open,05:00 PM,06:00 PM,,,closed,,,,,closed,,,,,closed,,,,,open,12:00 PM,01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1733994033916,maps.nyc.data,066e6df9-5b91-4884-b35e-14c93d112e15,40.664109946538,-73.950237293705,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.950237293705 40.664109946538),36047031900,BK0901,28
60,FP,,GLOVER MEMORIAL BREAD OF LIFE FOOD PANTRY (FP),(929) 453-9611,"2134 Dean St, Brooklyn, New York, 11233",BK,11233,,,,,,closed,,,,,closed,,,,,closed,,,,,open,09:00 AM,11:30 AM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1760083215589,maps.nyc.data,a7ddf956-c68d-49c7-a658-501b15aaa7bf,40.674917488673,-73.917033976837,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.917033976837 40.674917488673),36047030300,BK1601,29
61,FP,,GOD'S BATTALION OF PRAYER CHURCH,(718) 774-5447,"661 Linden Blvd, Brooklyn, New York, 11203",BK,11203,,"TUE,THUR",9AM-12PM,,,closed,,,,,open,09:00 AM,12:00 PM,,,closed,,,,,open,09:00 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1733994033916,maps.nyc.data,c684d00e-e991-439f-803f-1e0ba325d456,40.653831679678,-73.933806165091,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.933806165091 40.653831679678),36047087000,BK1703,30
63,FP,,"GOD'S DELIVERANCE TEMPLE, INC",(347) 234-3828,"438 Ralph Ave, Brooklyn, New York, 11233",BK,11233,,"TUE(1,3)",11AM-12PM,,,closed,,,,,open,11:00 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONLY OPERATE 1ST & 3RD TUE OF THE MONTH,,1680892750097,rwrenner_nyc,1733994033916,maps.nyc.data,f1045314-76ce-4739-bd04-54048492052c,40.674182856769,-73.922234277205,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.922234277205 40.674182856769),36047030700,BK0802,31
67,FP,,GRANT HOUSE UNITY CORPORATION,(631) 652-3700,"2046 Flatbush Ave, Brooklyn, New York, 11234",BK,11234,,"W,THU,SAT",11AM-4PM,,,closed,,,,,closed,,,,,open,11:00 AM,04:00 PM,,,open,11:00 AM,04:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,c37b7bf8-e586-4f2a-8dee-8e3f99957ee5,40.6198947367351,-73.9341653296417,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9341653294493 40.6198947366166),36047065000,BK1801,32
68,FP,,GREENPOINT REFORMED CHURCH FOOD PANTRY (FP),(718) 383-5941,"136 Milton St, Brooklyn, New York, 11222",BK,11222,,THUR,4-7PM,,,closed,,,,,closed,,,,,closed,,,,,open,04:00 PM,07:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1748073613735,maps.nyc.data,234c8a4b-61e8-4e7f-a3ab-0abae97557e5,40.729274549861,-73.954981283264,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.954981283264 40.729274549861),36047056500,BK0101,33
